"M_range","Site","Plot","Z","Type","Essence","Diameter","Position","Contact","Sap_max","P_Bux","X","Y"
"Massif_central","M2","M2",1404.210034,"Souche","Résineux",80,NA,NA,"3","0",683830.937269092,6440920.61480531
"Massif_central","M2","M2",1404.684998,"Souche","Résineux",50,NA,NA,"4","0",683817.869451423,6440919.53818576
"Massif_central","M2","M2",1394.130029,"Souche","Résineux",50,NA,NA,"4","0",683819.355292364,6440915.8692299
"Massif_central","M2","M2",1398.755005,"Bois mort au sol","Résineux",35,"Perpandiculaire","Total","5","0",683801.907224388,6440925.24399505
"Massif_central","M2","M2",1396.14502,"Souche","Résineux",95,NA,NA,"5","0",683799.458415568,6440921.80741755
"Massif_central","M2","M2",1394.830017,"Bois mort au sol","Résineux",30,"Autre","Total","3","0",683796.144145217,6440918.48416071
"Massif_central","M2","M2",1395.235046,"Bois mort au sol","Résineux",30,"Autre","Total","3","0",683796.082236443,6440924.92599042
"Massif_central","M2","M2",1403.304993,"Bois mort au sol","Résineux",20,"Autre","Total","4","0",683792.771441602,6440922.93548531
"Massif_central","M2","M2",1405.615015,"Souche","Résineux",80,NA,NA,"4","0",683791.684353385,6440928.60254593
"Massif_central","M2","M2",1407.700073,"Bois mort au sol","Résineux",55,"Perpandiculaire","Partiel","4","0",683793.761653982,6440940.48089556
"Massif_central","M2","M2",1422.300024,"Bois mort au sol","Résineux",20,"Axe de pente","Partiel","3","0",683756.698475217,6440882.8247667
"Massif_central","M2","M2",1424.771458,"Bois mort au sol","Résineux",35,"Axe de pente","Partiel","3","0",683759.454886394,6440883.48394248
"Massif_central","M2","M2",1425.850031,"Bois mort au sol","Résineux",20,"Axe de pente","Partiel","5","0",683760.710391147,6440882.03683932
"Massif_central","M2","M2",1432.200073,"Bois mort au sol","Résineux",30,"Axe de pente","Partiel","3","0",683778.995428693,6440891.76265339
"Massif_central","M2","M2",1442.555029,"Bois mort au sol","Feuillus",0,"Axe de pente","Partiel","4","0",683803.865836498,6440891.58672579
"Massif_central","M2","M2",1432.800049,"Bois mort au sol","Résineux",50,"Perpandiculaire","Partiel","3","0",683816.188390852,6440848.23995332
"Massif_central","M2","M2",1428.87002,"Bois mort au sol","Résineux",20,"Autre","Partiel","3","0",683819.579368874,6440850.7855789
"Massif_central","M2","M2",1429.825012,"Bois mort au sol","Résineux",25,"Autre","Partiel","4","0",683818.885480018,6440856.34054866
"Massif_central","M2","M2",1440.915045,"Bois mort au sol","Feuillus",20,"Perpandiculaire","Partiel","4","0",683828.718137454,6440854.20475355
"Massif_central","M2","M2",1443.185059,"Bois mort au sol","Résineux",0,"Autre","Total","3","1",683831.296916897,6440847.08999506
"Massif_central","M2","M2",1441.970026,"Bois mort au sol","Résineux",35,"Axe de pente","Partiel","3","0",683840.972471311,6440845.06569134
"Massif_central","M2","M2",1434.475,"Bois mort au sol","Résineux",20,"Axe de pente","Total","3","0",683835.362149677,6440836.52840983
"Massif_central","M2","M2",1429.135028,"Bois mort au sol","Indéterminé",15,"Autre","Total","3","0",683842.110604592,6440828.73643204
"Massif_central","M2","M2",1430.155035,"Bois mort au sol","Résineux",25,"Axe de pente","Total","3","0",683846.115060451,6440825.06093424
"Massif_central","M2","M2",1432.640021,"Bois mort au sol","Résineux",20,"Perpandiculaire","Partiel","3","0",683845.95418508,6440823.72859317
"Massif_central","M2","M2",1434.704999,"Bois mort au sol","Résineux",25,"Autre","Total","4","0",683853.735651818,6440819.71009403
"Massif_central","M2","M2",1430.91004,"Bois mort au sol","Résineux",15,"Autre","Partiel","2","0",683855.847144563,6440814.48463492
"Massif_central","M2","M2",1435.910004,"Bois mort au sol","Résineux",30,"Perpandiculaire","Total","3","0",683859.390920905,6440815.25287318
"Massif_central","M2","M2",1435.765027,"Bois mort au sol","Résineux",20,"Autre","Total","5","0",683867.412560399,6440812.78865319
"Massif_central","M2","M2",1434.61499,"Bois mort au sol","Résineux",20,"Autre","Total","4","0",683868.34809248,6440809.34326335
"Massif_central","M2","M2",1432.900024,"Bois mort au sol","Résineux",25,"Autre","Total","4","0",683863.551365347,6440811.02166506
"Massif_central","M2","M2",1439.475012,"Bois mort au sol","Résineux",10,"Axe de pente","Total","4","0",683868.0321162,6440808.89983044
"Massif_central","M2","M2",1440.300049,"Bois mort au sol","Résineux",35,"Autre","Total","3","0",683870.864371585,6440808.44822622
"Massif_central","M2","M2",1438.142857,"Souche","Résineux",45,NA,NA,"5","0",683957.461521647,6440846.76303833
"Massif_central","M2","M2",1444.619048,"Souche","Résineux",55,NA,NA,"2","0",683970.360311819,6440843.28679431
"Massif_central","M2","M2",1443,"Souche","Résineux",60,NA,NA,"4","0",683968.14567494,6440839.07210303
